542,67,876,414,2,0,3,1
378,14,210,954,2,0,1,3
749,876,73,111,2,3,0,1
372,880,475,329,1,3,2,0
186,822,577,519,0,3,2,1
70,709,370,739,0,2,1,3
266,630,540,560,0,3,1,2
177,289,184,553,0,2,1,3
214,691,636,903,0,2,1,3
527,547,865,589,0,1,3,2
270,553,137,275,1,3,0,2
695,934,391,221,2,3,1,0
239,436,217,46,2,3,1,0
947,468,936,20,3,1,2,0
39,200,355,119,0,2,3,1
922,82,896,298,3,0,2,1
966,880,63,947,3,1,0,2
735,724,658,651,3,2,1,0
348,662,21,90,2,3,0,1
942,954,392,870,2,3,0,1
326,359,894,568,0,1,3,2
974,870,228,822,3,2,0,1
18,578,149,571,0,3,1,2
725,51,307,539,3,0,1,2
81,766,843,576,0,2,3,1
13,0,675,692,1,0,2,3
600,893,764,112,1,3,2,0
37,183,767,847,0,1,2,3
667,619,733,70,2,1,3,0
240,738,864,281,0,2,3,1
256,272,482,677,0,1,2,3
487,46,195,390,3,0,1,2
535,828,851,209,1,2,3,0
896,920,899,146,1,3,2,0
794,99,178,993,2,0,1,3
99,648,976,823,0,1,3,2
827,208,80,761,3,1,0,2
915,679,617,911,3,1,0,2
327,541,331,100,1,3,2,0
682,970,887,903,0,3,1,2
919,875,378,712,3,2,0,1
26,319,957,392,0,1,3,2
681,169,253,10,3,1,2,0
56,357,76,679,0,2,1,3
872,39,848,559,3,0,2,1
533,997,485,805,1,3,0,2
545,316,885,824,1,0,3,2
220,247,114,331,1,2,0,3
875,317,60,509,3,1,0,2
879,756,912,437,2,1,3,0
382,716,164,639,1,3,0,2
224,921,142,829,1,3,0,2
935,438,917,214,3,1,2,0
976,999,808,136,2,3,1,0
702,49,530,433,3,0,2,1
88,955,692,275,0,3,2,1
819,666,166,134,3,2,1,0
901,978,280,681,2,3,0,1
589,424,267,897,2,1,0,3
696,279,140,963,2,1,0,3
308,903,771,581,0,3,2,1
748,137,115,601,3,1,0,2
899,841,606,785,3,2,0,1
440,555,540,584,0,2,1,3
589,709,127,480,2,3,0,1
110,679,542,836,0,2,1,3
23,298,260,253,0,3,2,1
880,981,213,693,2,3,0,1
95,852,766,731,0,3,2,1
9,877,436,267,0,3,2,1
785,919,840,503,1,3,2,0
782,729,200,67,3,2,1,0
137,674,883,800,0,1,3,2
178,432,16,767,1,2,0,3
238,437,145,404,1,3,0,2
895,884,833,425,3,2,1,0
51,433,348,321,0,3,2,1
308,844,272,315,1,3,0,2
184,170,439,203,1,0,3,2
285,71,692,707,1,0,2,3
640,213,216,24,3,1,2,0
2,826,496,603,0,3,1,2
606,507,69,606,2,1,0,3
868,308,658,75,3,1,2,0
102,975,120,758,0,3,1,2
606,793,44,586,2,3,0,1
587,376,241,473,3,1,0,2
500,439,729,640,1,0,3,2
204,917,722,751,0,3,1,2
662,758,328,764,1,2,0,3
604,331,989,278,2,1,3,0
706,652,532,713,2,1,0,3
388,662,0,710,1,2,0,3
894,851,80,512,3,2,0,1
51,372,855,468,0,1,3,2
306,963,828,483,0,3,2,1
568,16,869,870,1,0,2,3
175,446,712,466,0,1,3,2
859,815,243,12,3,2,1,0
281,939,921,715,0,3,2,1
749,966,368,112,2,3,1,0
460,740,477,114,1,3,2,0
190,240,161,737,1,2,0,3
