542,67,876,414,26,335,620,924,4,1,6,3,0,2,5,7
378,14,210,954,231,572,315,295,5,0,1,7,2,6,4,3
749,876,73,111,899,213,541,769,4,6,0,1,7,2,3,5
372,880,475,329,733,564,739,376,1,7,3,0,5,4,6,2
186,822,577,519,707,123,143,294,2,7,5,4,6,0,1,3
70,709,370,739,86,499,215,384,0,6,3,7,1,5,2,4
266,630,540,560,470,561,323,720,0,6,3,4,2,5,1,7
177,289,184,553,548,409,483,507,0,2,1,7,6,3,4,5
214,691,636,903,582,490,389,528,0,6,5,7,4,2,1,3
527,547,865,589,141,645,761,339,2,3,7,4,0,5,6,1
270,553,137,275,217,321,205,507,3,7,0,4,2,5,1,6
695,934,391,221,990,139,720,429,4,6,2,1,7,0,5,3
239,436,217,46,500,79,865,992,3,4,2,0,5,1,6,7
947,468,936,20,806,108,576,848,7,2,6,0,4,1,3,5
39,200,355,119,335,382,170,618,0,3,5,1,4,6,2,7
922,82,896,298,332,977,566,553,6,0,5,1,2,7,4,3
966,880,63,947,193,328,39,278,7,5,1,6,2,4,0,3
735,724,658,651,487,109,722,146,7,6,4,3,2,0,5,1
348,662,21,90,880,676,225,510,3,5,0,1,7,6,2,4
942,954,392,870,702,473,313,931,6,7,1,4,3,2,0,5
326,359,894,568,659,172,495,819,1,2,7,4,5,0,3,6
974,870,228,822,434,340,611,260,7,6,0,5,3,2,4,1
18,578,149,571,993,201,604,21,0,5,2,4,7,3,6,1
725,51,307,539,299,595,709,837,6,0,2,3,1,4,5,7
81,766,843,576,502,525,408,104,0,6,7,5,3,4,2,1
13,0,675,692,704,538,174,493,1,0,5,6,7,4,2,3
600,893,764,112,842,161,123,127,4,7,5,0,6,3,1,2
37,183,767,847,432,155,264,77,0,3,6,7,5,2,4,1
667,619,733,70,49,882,512,516,5,4,6,1,0,7,2,3
240,738,864,281,953,555,573,830,0,4,6,1,7,2,3,5
256,272,482,677,721,676,595,41,1,2,3,6,7,5,4,0
487,46,195,390,338,815,498,8,5,1,2,4,3,7,6,0
535,828,851,209,381,941,730,222,3,5,6,0,2,7,4,1
896,920,899,146,885,263,900,978,3,6,4,0,2,1,5,7
794,99,178,993,914,542,954,11,4,1,2,7,5,3,6,0
99,648,976,823,679,94,657,511,1,3,7,6,5,0,4,2
827,208,80,761,854,342,837,241,5,1,0,4,7,3,6,2
915,679,617,911,336,259,931,784,6,3,2,5,1,0,7,4
327,541,331,100,84,239,74,870,4,6,5,2,1,3,0,7
682,970,887,903,202,819,191,173,3,7,5,6,2,4,1,0
919,875,378,712,23,387,837,663,7,6,1,4,0,2,5,3
26,319,957,392,370,360,356,313,0,2,7,6,5,4,3,1
681,169,253,10,271,300,352,187,7,1,3,0,4,5,6,2
56,357,76,679,179,447,63,39,1,5,3,7,4,6,2,0
872,39,848,559,59,834,346,797,7,0,6,3,1,5,2,4
533,997,485,805,868,618,773,647,1,7,0,5,6,2,4,3
545,316,885,824,323,958,391,424,4,0,6,5,1,7,2,3
220,247,114,331,258,367,416,799,1,2,0,4,3,5,6,7
875,317,60,509,628,925,490,707,6,1,0,3,4,7,2,5
879,756,912,437,836,438,258,91,6,4,7,2,5,3,1,0
382,716,164,639,182,720,663,186,3,6,0,4,1,7,5,2
224,921,142,829,209,874,87,989,3,6,1,4,2,5,0,7
935,438,917,214,257,574,922,401,7,3,5,0,1,4,6,2
976,999,808,136,154,557,735,718,6,7,5,0,1,2,4,3
702,49,530,433,256,383,316,347,7,0,6,5,1,4,2,3
88,955,692,275,824,903,799,549,0,7,3,1,5,6,4,2
819,666,166,134,507,793,345,31,7,5,2,1,4,6,3,0
901,978,280,681,958,525,308,957,4,7,0,3,6,2,1,5
589,424,267,897,501,470,29,466,6,2,1,7,5,4,0,3
696,279,140,963,235,35,212,918,5,4,1,7,3,0,2,6
308,903,771,581,158,50,598,991,2,6,5,3,1,0,4,7
748,137,115,601,517,634,704,743,7,1,0,3,2,4,5,6
899,841,606,785,612,97,476,749,7,6,2,5,3,0,1,4
440,555,540,584,433,49,968,366,3,5,4,6,2,0,7,1
589,709,127,480,119,556,932,296,5,6,1,3,0,4,7,2
110,679,542,836,597,4,566,202,1,6,3,7,5,0,4,2
23,298,260,253,576,12,205,11,2,6,5,4,7,1,3,0
880,981,213,693,507,764,99,383,6,7,1,4,3,5,0,2
95,852,766,731,352,845,653,708,0,7,5,4,1,6,2,3
9,877,436,267,233,587,958,489,0,6,3,2,1,5,7,4
785,919,840,503,588,28,19,623,5,7,6,2,3,1,0,4
782,729,200,67,975,639,138,27,6,5,3,1,7,4,2,0
137,674,883,800,152,420,258,690,0,4,7,6,1,3,2,5
178,432,16,767,401,570,523,108,2,4,0,7,3,6,5,1
238,437,145,404,426,209,746,366,2,6,0,4,5,1,7,3
895,884,833,425,217,389,489,482,7,6,5,2,0,1,4,3
51,433,348,321,940,162,628,991,0,4,3,2,6,1,5,7
308,844,272,315,33,828,800,23,3,7,2,4,1,6,5,0
184,170,439,203,521,464,262,567,1,0,4,2,6,5,3,7
285,71,692,707,312,94,668,926,2,0,5,6,3,1,4,7
640,213,216,24,429,67,791,952,5,2,3,0,4,1,6,7
2,826,496,603,339,380,960,114,0,6,4,5,2,3,7,1
606,507,69,606,623,699,978,81,3,2,0,4,5,6,7,1
868,308,658,75,480,499,794,348,7,1,5,0,3,4,6,2
102,975,120,758,212,68,17,217,2,7,3,6,4,1,0,5
606,793,44,586,438,396,490,146,6,7,0,5,3,2,4,1
587,376,241,473,347,752,588,461,5,2,0,4,1,7,6,3
500,439,729,640,65,58,289,913,4,3,6,5,1,0,2,7
204,917,722,751,815,724,872,269,0,7,2,4,5,3,6,1
662,758,328,764,659,907,597,99,4,5,1,6,3,7,2,0
604,331,989,278,674,89,457,826,4,2,7,1,5,0,3,6
706,652,532,713,139,981,729,515,4,3,2,5,0,7,6,1
388,662,0,710,336,50,772,523,3,5,0,6,2,1,7,4
894,851,80,512,855,384,805,116,7,5,0,3,6,2,4,1
51,372,855,468,428,470,548,943,0,1,6,3,2,4,5,7
306,963,828,483,18,18,707,920,2,7,5,3,1,0,4,6
568,16,869,870,6,168,428,325,5,1,6,7,0,2,4,3
175,446,712,466,691,465,271,535,0,2,7,4,6,3,1,5
859,815,243,12,111,657,235,547,7,6,3,0,1,5,2,4
281,939,921,715,739,372,832,131,1,7,6,3,4,2,5,0
749,966,368,112,976,412,995,460,4,5,1,0,6,2,7,3
460,740,477,114,556,413,569,122,3,7,4,0,5,2,6,1
190,240,161,737,327,413,81,898,2,3,1,6,4,5,0,7
302,287,824,373,32,777,687,374,2,1,7,3,0,6,5,4
988,297,790,824,613,210,242,288,7,3,5,6,4,0,1,2
793,712,194,494,432,660,927,694,6,5,0,2,1,3,7,4
248,748,718,116,597,26,12,102,4,7,6,3,5,1,0,2
892,985,753,762,16,476,333,984,5,7,3,4,0,2,1,6
970,76,236,971,373,24,464,503,6,1,2,7,3,0,4,5
179,550,151,726,921,193,545,365,1,5,0,6,7,2,4,3
242,169,659,16,813,659,244,429,2,1,5,0,7,6,3,4
720,296,23,758,654,414,806,516,5,1,0,6,4,2,7,3
553,522,98,262,13,487,859,329,6,5,1,2,0,4,7,3
153,545,357,894,506,994,30,489,1,5,2,6,4,7,0,3
37,600,55,366,299,109,38,633,0,6,2,5,4,3,1,7
4,252,779,497,543,88,369,560,0,2,7,4,5,1,3,6
79,612,841,101,612,217,420,917,0,5,6,1,4,2,3,7
583,826,514,814,200,758,694,311,3,7,2,6,0,5,4,1
165,407,71,43,999,11,687,448,3,4,2,1,7,0,6,5
730,10,652,151,209,860,65,434,6,0,5,2,3,7,1,4
564,609,411,161,268,85,484,309,6,7,4,1,2,0,5,3
736,787,569,901,137,160,717,617,5,6,2,7,0,1,4,3
360,49,528,726,640,885,366,135,2,0,4,6,5,7,3,1
862,895,868,552,441,835,128,767,5,7,6,2,1,4,0,3
740,555,494,278,566,143,389,781,6,4,3,1,5,0,2,7
22,37,479,897,244,137,165,586,0,1,5,7,4,2,3,6
126,346,78,78,869,194,30,923,3,5,2,1,6,4,0,7
497,357,730,682,894,663,872,254,2,1,5,4,7,3,6,0
129,622,480,904,278,685,425,765,0,4,3,7,1,5,2,6
552,660,179,400,243,353,642,872,4,6,0,3,1,2,5,7
790,667,22,437,393,782,151,503,7,5,0,3,2,6,1,4
234,41,232,108,565,147,433,823,4,0,3,1,6,2,5,7
799,562,732,909,12,864,312,860,4,2,3,7,0,6,1,5
997,589,406,151,219,437,274,493,7,6,3,0,1,4,2,5
