542,67,876,414,26,335,4,1,5,3,0,2
378,14,210,954,231,572,3,0,1,5,2,4
749,876,73,111,899,213,3,4,0,1,5,2
372,880,475,329,733,564,1,5,2,0,4,3
186,822,577,519,707,123,1,5,3,2,4,0
70,709,370,739,86,499,0,4,2,5,1,3
266,630,540,560,470,561,0,5,2,3,1,4
177,289,184,553,548,409,0,2,1,5,4,3
214,691,636,903,582,490,0,4,3,5,2,1
527,547,865,589,141,645,1,2,5,3,0,4
270,553,137,275,217,321,2,5,0,3,1,4
695,934,391,221,990,139,3,4,2,1,5,0
239,436,217,46,500,79,3,4,2,0,5,1
947,468,936,20,806,108,5,2,4,0,3,1
39,200,355,119,335,382,0,2,4,1,3,5
922,82,896,298,332,977,4,0,3,1,2,5
966,880,63,947,193,328,5,3,0,4,1,2
735,724,658,651,487,109,5,4,3,2,1,0
348,662,21,90,880,676,2,3,0,1,5,4
942,954,392,870,702,473,4,5,0,3,2,1
326,359,894,568,659,172,1,2,5,3,4,0
974,870,228,822,434,340,5,4,0,3,2,1
18,578,149,571,993,201,0,4,1,3,5,2
725,51,307,539,299,595,5,0,2,3,1,4
81,766,843,576,502,525,0,4,5,3,1,2
13,0,675,692,704,538,1,0,3,4,5,2
600,893,764,112,842,161,2,5,3,0,4,1
37,183,767,847,432,155,0,2,4,5,3,1
667,619,733,70,49,882,3,2,4,1,0,5
240,738,864,281,953,555,0,3,4,1,5,2
256,272,482,677,721,676,0,1,2,4,5,3
487,46,195,390,338,815,4,0,1,3,2,5
535,828,851,209,381,941,2,3,4,0,1,5
896,920,899,146,885,263,3,5,4,0,2,1
794,99,178,993,914,542,3,0,1,5,4,2
99,648,976,823,679,94,1,2,5,4,3,0
827,208,80,761,854,342,4,1,0,3,5,2
915,679,617,911,336,259,5,3,2,4,1,0
327,541,331,100,84,239,3,5,4,1,0,2
682,970,887,903,202,819,1,5,3,4,0,2
919,875,378,712,23,387,5,4,1,3,0,2
26,319,957,392,370,360,0,1,5,4,3,2
681,169,253,10,271,300,5,1,2,0,3,4
56,357,76,679,179,447,0,3,1,5,2,4
872,39,848,559,59,834,5,0,4,2,1,3
533,997,485,805,868,618,1,5,0,3,4,2
545,316,885,824,323,958,2,0,4,3,1,5
220,247,114,331,258,367,1,2,0,4,3,5
875,317,60,509,628,925,4,1,0,2,3,5
879,756,912,437,836,438,4,2,5,0,3,1
382,716,164,639,182,720,2,4,0,3,1,5
224,921,142,829,209,874,2,5,0,3,1,4
935,438,917,214,257,574,5,2,4,0,1,3
976,999,808,136,154,557,4,5,3,0,1,2
702,49,530,433,256,383,5,0,4,3,1,2
88,955,692,275,824,903,0,5,2,1,3,4
819,666,166,134,507,793,5,3,1,0,2,4
901,978,280,681,958,525,3,5,0,2,4,1
589,424,267,897,501,470,4,1,0,5,3,2
696,279,140,963,235,35,4,3,1,5,2,0
308,903,771,581,158,50,2,5,4,3,1,0
748,137,115,601,517,634,5,1,0,3,2,4
899,841,606,785,612,97,5,4,1,3,2,0
440,555,540,584,433,49,2,4,3,5,1,0
589,709,127,480,119,556,4,5,1,2,0,3
110,679,542,836,597,4,1,4,2,5,3,0
23,298,260,253,576,12,1,4,3,2,5,0
880,981,213,693,507,764,4,5,0,2,1,3
95,852,766,731,352,845,0,5,3,2,1,4
9,877,436,267,233,587,0,5,3,2,1,4
785,919,840,503,588,28,3,5,4,1,2,0
782,729,200,67,975,639,4,3,1,0,5,2
137,674,883,800,152,420,0,3,5,4,1,2
178,432,16,767,401,570,1,3,0,5,2,4
238,437,145,404,426,209,2,5,0,3,4,1
895,884,833,425,217,389,5,4,3,2,0,1
51,433,348,321,940,162,0,4,3,2,5,1
308,844,272,315,33,828,2,5,1,3,0,4
184,170,439,203,521,464,1,0,3,2,5,4
285,71,692,707,312,94,2,0,4,5,3,1
640,213,216,24,429,67,5,2,3,0,4,1
2,826,496,603,339,380,0,5,3,4,1,2
606,507,69,606,623,699,2,1,0,3,4,5
